name,x,y
site_0,0.5230651963846167,0.28570219482424586
site_1,0.49862946127316743,0.6879817208235371
site_2,0.9537296272203393,0.688607028127683
site_3,0.40383342384928134,0.9615791517015381
site_4,0.9074038576834784,0.9856219840989743
site_5,0.5929324804465592,0.07815942902190798
site_6,0.3720272946466351,0.4986768962036566
site_7,0.2510171661469581,0.8628448940253108
site_8,0.6794775685950153,0.7683199111632983
site_9,0.7779831898355403,0.6363271334031656
site_10,0.15574581190136905,0.2383917050839781
site_11,0.563091814071311,0.8808849907760145
site_12,0.6898161834196915,0.5758699252572663
site_13,0.9897376993601864,0.37871690123644286
site_14,0.9203366329106825,0.7151396363364482
site_15,0.1817938475714248,0.5617211425691973
site_16,0.8568234174710463,0.861074422103242
site_17,0.35626933883219825,0.2352435135780424
site_18,0.1164227887508974,0.14417005137500205
site_19,0.6482303365535094,0.40195557105861746
site_20,0.8708851831275431,0.9245449784407266
site_21,0.372626402898082,0.46240834538339604
site_22,0.1531575606384915,0.3561182051219024
site_23,0.30914267027182707,0.8572540331430216
site_24,0.23778765420035886,0.5148204559179718
