location_name,demand
location_0,19.0
location_1,10.0
location_2,25.0
location_3,7.0
location_4,21.0
location_5,16.0
location_6,20.0
location_7,26.0
location_8,36.0
location_9,29.0
location_10,17.0
location_11,12.0
location_12,19.0
location_13,31.0
location_14,19.0
location_15,7.0
location_16,44.0
location_17,39.0
location_18,24.0
location_19,21.0
location_20,30.0
location_21,19.0
location_22,15.0
location_23,34.0
location_24,51.0
location_25,8.0
location_26,26.0
location_27,21.0
location_28,11.0
location_29,40.0
location_30,35.0
location_31,39.0
location_32,28.0
location_33,22.0
location_34,20.0
location_35,45.0
location_36,7.0
location_37,48.0
location_38,26.0
location_39,54.0
location_40,27.0
location_41,33.0
location_42,49.0
location_43,33.0
location_44,46.0
location_45,15.0
location_46,26.0
location_47,24.0
location_48,26.0
location_49,13.0
