location_name,demand
location_0,41.0
location_1,32.0
location_2,33.0
location_3,5.0
location_4,14.0
location_5,14.0
location_6,25.0
location_7,24.0
location_8,39.0
location_9,27.0
location_10,17.0
location_11,25.0
location_12,34.0
location_13,26.0
location_14,18.0
location_15,9.0
location_16,21.0
location_17,22.0
location_18,18.0
location_19,30.0
location_20,38.0
location_21,19.0
location_22,26.0
location_23,23.0
location_24,43.0
location_25,19.0
location_26,28.0
location_27,17.0
location_28,24.0
location_29,36.0
location_30,32.0
location_31,27.0
location_32,34.0
location_33,28.0
location_34,20.0
location_35,33.0
location_36,28.0
location_37,9.0
location_38,29.0
location_39,27.0
location_40,33.0
location_41,17.0
location_42,43.0
location_43,28.0
location_44,36.0
location_45,31.0
location_46,25.0
location_47,24.0
location_48,20.0
location_49,17.0
