location_name,demand
location_0,25.0
location_1,21.0
location_2,23.0
location_3,29.0
location_4,12.0
location_5,16.0
location_6,18.0
location_7,17.0
location_8,34.0
location_9,23.0
location_10,15.0
location_11,16.0
location_12,24.0
location_13,21.0
location_14,46.0
location_15,14.0
location_16,23.0
location_17,51.0
location_18,41.0
location_19,22.0
location_20,38.0
location_21,21.0
location_22,35.0
location_23,18.0
location_24,38.0
location_25,11.0
location_26,19.0
location_27,15.0
location_28,21.0
location_29,28.0
location_30,29.0
location_31,35.0
location_32,27.0
location_33,22.0
location_34,23.0
location_35,27.0
location_36,36.0
location_37,22.0
location_38,28.0
location_39,15.0
location_40,34.0
location_41,25.0
location_42,42.0
location_43,34.0
location_44,52.0
location_45,17.0
location_46,29.0
location_47,16.0
location_48,34.0
location_49,30.0
