location_name,demand
location_0,36.0
location_1,17.0
location_2,26.0
location_3,23.0
location_4,4.0
location_5,22.0
location_6,36.0
location_7,24.0
location_8,43.0
location_9,18.0
location_10,21.0
location_11,15.0
location_12,23.0
location_13,31.0
location_14,37.0
location_15,9.0
location_16,32.0
location_17,37.0
location_18,32.0
location_19,14.0
location_20,35.0
location_21,16.0
location_22,27.0
location_23,29.0
location_24,36.0
location_25,11.0
location_26,9.0
location_27,30.0
location_28,34.0
location_29,24.0
location_30,16.0
location_31,43.0
location_32,31.0
location_33,23.0
location_34,23.0
location_35,43.0
location_36,31.0
location_37,25.0
location_38,25.0
location_39,34.0
location_40,37.0
location_41,28.0
location_42,33.0
location_43,30.0
location_44,35.0
location_45,16.0
location_46,26.0
location_47,22.0
location_48,21.0
location_49,43.0
