location_name,demand
location_0,30.0
location_1,7.0
location_2,20.0
location_3,16.0
location_4,24.0
location_5,5.0
location_6,42.0
location_7,21.0
location_8,29.0
location_9,22.0
location_10,32.0
location_11,18.0
location_12,27.0
location_13,33.0
location_14,51.0
location_15,13.0
location_16,27.0
location_17,43.0
location_18,33.0
location_19,40.0
location_20,36.0
location_21,19.0
location_22,16.0
location_23,29.0
location_24,47.0
location_25,13.0
location_26,26.0
location_27,24.0
location_28,28.0
location_29,30.0
location_30,35.0
location_31,52.0
location_32,29.0
location_33,15.0
location_34,18.0
location_35,38.0
location_36,9.0
location_37,15.0
location_38,31.0
location_39,21.0
location_40,31.0
location_41,53.0
location_42,28.0
location_43,34.0
location_44,45.0
location_45,32.0
location_46,22.0
location_47,22.0
location_48,18.0
location_49,19.0
