location_name,demand
location_0,41.0
location_1,13.0
location_2,30.0
location_3,22.0
location_4,10.0
location_5,12.0
location_6,37.0
location_7,15.0
location_8,46.0
location_9,19.0
location_10,10.0
location_11,24.0
location_12,39.0
location_13,29.0
location_14,35.0
location_15,6.0
location_16,35.0
location_17,41.0
location_18,32.0
location_19,18.0
location_20,14.0
location_21,16.0
location_22,39.0
location_23,31.0
location_24,28.0
location_25,11.0
location_26,22.0
location_27,32.0
location_28,32.0
location_29,38.0
location_30,28.0
location_31,54.0
location_32,25.0
location_33,24.0
location_34,11.0
location_35,33.0
location_36,21.0
location_37,10.0
location_38,18.0
location_39,22.0
location_40,39.0
location_41,23.0
location_42,39.0
location_43,31.0
location_44,44.0
location_45,22.0
location_46,32.0
location_47,33.0
location_48,30.0
location_49,19.0
