location_name,demand
location_0,17.0
location_1,19.0
location_2,23.0
location_3,26.0
location_4,21.0
location_5,16.0
location_6,38.0
location_7,15.0
location_8,40.0
location_9,32.0
location_10,13.0
location_11,22.0
location_12,50.0
location_13,22.0
location_14,42.0
location_15,7.0
location_16,23.0
location_17,33.0
location_18,34.0
location_19,17.0
location_20,13.0
location_21,26.0
location_22,38.0
location_23,26.0
location_24,40.0
location_25,12.0
location_26,18.0
location_27,24.0
location_28,12.0
location_29,40.0
location_30,31.0
location_31,36.0
location_32,17.0
location_33,11.0
location_34,33.0
location_35,40.0
location_36,32.0
location_37,17.0
location_38,19.0
location_39,35.0
location_40,33.0
location_41,45.0
location_42,27.0
location_43,30.0
location_44,22.0
location_45,14.0
location_46,28.0
location_47,19.0
location_48,29.0
location_49,29.0
