location_name,demand
location_0,22.0
location_1,23.0
location_2,35.0
location_3,28.0
location_4,17.0
location_5,8.0
location_6,14.0
location_7,21.0
location_8,34.0
location_9,22.0
location_10,10.0
location_11,27.0
location_12,33.0
location_13,36.0
location_14,37.0
location_15,8.0
location_16,61.0
location_17,52.0
location_18,24.0
location_19,16.0
location_20,2.0
location_21,7.0
location_22,36.0
location_23,20.0
location_24,35.0
location_25,18.0
location_26,14.0
location_27,17.0
location_28,18.0
location_29,38.0
location_30,34.0
location_31,39.0
location_32,31.0
location_33,15.0
location_34,21.0
location_35,33.0
location_36,14.0
location_37,43.0
location_38,27.0
location_39,30.0
location_40,32.0
location_41,26.0
location_42,32.0
location_43,33.0
location_44,30.0
location_45,29.0
location_46,38.0
location_47,18.0
location_48,34.0
location_49,31.0
